match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
58,11/05/2022,"Dr DY Patil Sports Academy, Mumbai",Delhi,Rajasthan,Group,Delhi,Field,160,6,161,2,Delhi,Wickets,8,Mitchell Marsh,Mitchell Marsh,89,Chetan Sakariya,2--23
59,12/05/2022,"Wankhede Stadium, Mumbai",Chennai,Mumbai,Group,Mumbai,Field,97,10,103,5,Mumbai,Wickets,5,Daniel Sams,MS Dhoni,36,Daniel Sams,3--16
60,13/05/2022,"Brabourne Stadium, Mumbai",Banglore,Punjab,Group,Banglore,Field,209,9,155,9,Punjab,Runs,54,Jonny Bairstow,Liam Livingstone,70,Harshal Patel,4--34
61,14/05/2022,"Maharashtra Cricket Association Stadium,Pune",Hyderabad,Kolkata,Group,Kolkata,Bat,177,6,123,8,Kolkata,Runs,54,Andre Russell,Andre Russell,49,Andre Russell,3--22
62,15/05/2022,"Wankhede Stadium, Mumbai",Chennai,Gujarat,Group,Chennai,Bat,133,5,137,3,Gujarat,Wickets,7,W. Saha,W. Saha,67,Mohammed Shami,2--19
63,15/05/2022,"Brabourne Stadium, Mumbai",Lucknow,Rajasthan,Group,Rajasthan,Bat,178,6,154,8,Rajasthan,Runs,24,Trent Boult,Deepak Hooda,59,Trent Boult,2--18
64,16/05/2022,"Dr DY Patil Sports Academy, Mumbai",Delhi,Punjab,Group,Punjab,Field,159,7,142,9,Delhi,Runs,17,Shardul Thakur,Mitchell Marsh,63,Shardul Takur,4--36
65,17/05/2022,"Wankhede Stadium, Mumbai",Hyderabad,Mumbai,Group,Mumbai,Field,193,6,190,7,Hyderabad,Runs,3,Rahul Tripathi,Rahul Tripathi,76,Ramandeep Singh,3--20
66,18/05/2022,"Dr DY Patil Sports Academy, Mumbai",Kolkata,Lucknow,Group,Lucknow,Bat,210,0,208,8,Lucknow,Runs,2,Quinton de Kock,Quinton de Kock,140,Mohsin Khan,3--20
67,19/05/2022,"Wankhede Stadium, Mumbai",Banglore,Gujarat,Group,Gujarat,Bat,168,5,170,2,Banglore,Wickets,8,Virat Kohli,Virat Kohli,73,Rashid Khan,2--32
68,20/05/2022,"Brabourne Stadium, Mumbai",Chennai,Rajasthan,Group,Chennai,Bat,150,6,151,5,Rajasthan,Wickets,5,R Aswin,Moeen Ali,93,Prashant Solanki,2--20
69,21/05/2022,"Wankhede Stadium, Mumbai",Delhi,Mumbai,Group,Mumbai,Field,159,7,160,5,Mumbai,Wickets,5,Jasprit Bumrah,Ishan Kishan,48,Jasprit Bumrah,3--25
70,22/05/2022,"Wankhede Stadium, Mumbai",Hyderabad,Punjab,Group,Hyderabad,Bat,157,8,160,5,Punjab,Wickets,5,Harpreet Brar,Liam Livingstone,49,Harpreet Brar,3--26
71,24/05/2022,"Eden Gardens, Kolkata",Gujarat,Rajasthan,Group,Gujarat,Field,188,6,191,3,Gujarat,Wickets,7,,Jos Buttler,89,Hardik Pandya,1--14
